+proj=utm +zone=17 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
333158.20	3102916.18	3	2699.43	1668.72	DJI_0065.JPG
333158.20	3102916.18	3	2706.86	1960.27	DJI_0066.JPG
333158.20	3102916.18	3	2724.37	2267.15	DJI_0067.JPG
333158.20	3102916.18	3	2718.75	2615.64	DJI_0068.JPG
333158.20	3102916.18	3	3491.14	1862.28	DJI_0081.JPG
333187.62	3102954.46	3	1434.68	704.34	DJI_0065.JPG
333187.62	3102954.46	3	1400.79	933.18	DJI_0066.JPG
333187.62	3102954.46	3	1372.61	1169.60	DJI_0067.JPG
333187.62	3102954.46	3	1327.25	1426.67	DJI_0068.JPG
333187.62	3102954.46	3	2099.38	862.45	DJI_0081.JPG
333212.74	3102954.63	3	1494.16	248.67	DJI_0066.JPG
333212.74	3102954.63	3	1524.81	58.33	DJI_0065.JPG
333212.74	3102954.63	3	1469.58	441.29	DJI_0067.JPG
333212.74	3102954.63	3	1435.67	649.48	DJI_0068.JPG
333212.74	3102954.63	3	2123.17	184.11	DJI_0081.JPG
333208.38	3102906.46	3	3585.77	339.79	DJI_0081.JPG
333208.38	3102906.46	3	2973.32	608.67	DJI_0067.JPG
333208.38	3102906.46	3	2990.77	837.71	DJI_0068.JPG
333208.38	3102906.46	3	2955.08	408.63	DJI_0066.JPG
333208.38	3102906.46	3	2945.97	206.83	DJI_0065.JPG
333189.33	3102912.78	3	2770.57	665.20	DJI_0065.JPG
333189.33	3102912.78	3	2773.69	888.02	DJI_0066.JPG
333189.33	3102912.78	3	2792.62	1124.63	DJI_0067.JPG
333189.33	3102912.78	3	2801.38	1389.10	DJI_0068.JPG
333189.33	3102912.78	3	3458.46	817.40	DJI_0081.JPG
